Station Name,Date/Time (LST),Year,Month,Day,Hour,Temperature,Dew Point Temperature,Wind_Speed,Precipitation,Station Pressure,Humidity,Windchill
HAMILTON A,2018-01-01 00:00:00,2018,1,1,0,-23.8,-25.5,11,,100.08,86.0,-32.0
HAMILTON A,2018-01-01 01:00:00,2018,1,1,1,-22.8,-24.6,11,,100.07,85.0,-31.0
HAMILTON A,2018-01-01 02:00:00,2018,1,1,2,-22.8,-24.6,12,,100.06,86.0,-31.0
HAMILTON A,2018-01-01 03:00:00,2018,1,1,3,-23.4,-25.1,11,,100.06,86.0,-32.0
HAMILTON A,2018-01-01 04:00:00,2018,1,1,4,-21.9,-23.8,7,,100.03,85.0,-28.0
HAMILTON A,2018-01-01 05:00:00,2018,1,1,5,-20.7,-22.8,7,,99.98,84.0,-26.0
HAMILTON A,2018-01-01 06:00:00,2018,1,1,6,-21.1,-22.9,9,,99.95,85.0,-28.0
HAMILTON A,2018-01-01 07:00:00,2018,1,1,7,-20.8,-22.6,12,,99.93,85.0,-29.0
HAMILTON A,2018-01-01 08:00:00,2018,1,1,8,-20.0,-22.0,15,,99.91,84.0,-29.0
HAMILTON A,2018-01-01 09:00:00,2018,1,1,9,-17.8,-19.9,17,,99.88,84.0,-27.0
HAMILTON A,2018-01-01 10:00:00,2018,1,1,10,-15.2,-17.4,17,,99.9,84.0,-24.0
HAMILTON A,2018-01-01 11:00:00,2018,1,1,11,-13.1,-16.3,22,,99.89,77.0,-22.0
HAMILTON A,2018-01-01 12:00:00,2018,1,1,12,-11.7,-17.1,28,,99.83,65.0,-21.0
HAMILTON A,2018-01-01 13:00:00,2018,1,1,13,-11.5,-16.9,26,,99.76,65.0,-21.0
HAMILTON A,2018-01-01 14:00:00,2018,1,1,14,-12.0,-16.2,25,,99.73,71.0,-21.0
HAMILTON A,2018-01-01 15:00:00,2018,1,1,15,-11.7,-15.5,35,,99.73,74.0,-22.0
HAMILTON A,2018-01-01 16:00:00,2018,1,1,16,-11.2,-14.7,28,,99.76,76.0,-21.0
HAMILTON A,2018-01-01 17:00:00,2018,1,1,17,-11.4,-14.8,31,,99.82,76.0,-21.0
HAMILTON A,2018-01-01 18:00:00,2018,1,1,18,-12.2,-14.8,26,,99.91,81.0,-22.0
HAMILTON A,2018-01-01 19:00:00,2018,1,1,19,-12.2,-14.6,21,,99.95,82.0,-21.0
HAMILTON A,2018-01-01 20:00:00,2018,1,1,20,-12.1,-14.5,22,,99.97,82.0,-21.0
HAMILTON A,2018-01-01 21:00:00,2018,1,1,21,-12.0,-14.4,21,,99.99,82.0,-21.0
HAMILTON A,2018-01-01 22:00:00,2018,1,1,22,-12.3,-14.3,19,,100.01,85.0,-21.0
HAMILTON A,2018-01-01 23:00:00,2018,1,1,23,-12.1,-14.3,17,,100.03,84.0,-20.0
HAMILTON A,2018-01-02 17:00:00,2018,1,2,17,-9.3,-12.8,41,,99.34,76.0,-20.0
HAMILTON A,2018-01-02 16:00:00,2018,1,2,16,-8.7,-13.0,35,,99.37,71.0,-18.0
HAMILTON A,2018-01-02 00:00:00,2018,1,2,0,-11.8,-14.3,24,,99.99,81.0,-21.0
HAMILTON A,2018-01-02 01:00:00,2018,1,2,1,-11.5,-14.6,28,,99.94,78.0,-21.0
HAMILTON A,2018-01-02 02:00:00,2018,1,2,2,-11.6,-14.8,34,,99.94,77.0,-22.0
HAMILTON A,2018-01-02 03:00:00,2018,1,2,3,-11.6,-14.9,28,,99.94,76.0,-21.0
HAMILTON A,2018-01-02 04:00:00,2018,1,2,4,-11.7,-15.0,30,,99.94,76.0,-22.0
HAMILTON A,2018-01-02 05:00:00,2018,1,2,5,-12.0,-15.3,35,,99.92,77.0,-23.0
HAMILTON A,2018-01-02 06:00:00,2018,1,2,6,-13.1,-16.3,32,,99.93,77.0,-24.0
